id_transaccion,fecha_hora,dia_semana,hora_decimal,turno,cajero,mesero,mesa_canal,categoria_producto,producto,cantidad_items,monto_bruto,descuento_pct,monto_final,metodo_pago,tipo_transaccion,es_anomalia,tipo_anomalia,descripcion_anomalia,split_sugerido
TRX-000001,2026-06-18 13:38:00,3,13.63,almuerzo,CAJ-002,MES-002,domicilio,platos_fuertes,Parrillada personal,2,20.51,0,20.51,tarjeta,venta,0,normal,Transaccion dentro del patron esperado.,validacion
TRX-000002,2026-05-04 13:01:00,0,13.02,almuerzo,CAJ-003,MES-006,mesa_07,platos_fuertes,Churrasco ecuatoriano,1,9.7,0,9.7,tarjeta,venta,0,normal,Transaccion dentro del patron esperado.,train_normal
TRX-000003,2026-06-03 09:21:00,2,9.35,desayuno,CAJ-001,MES-001,mesa_11,bebidas,Jugo natural,2,3.43,0,3.43,efectivo,venta,0,normal,Transaccion dentro del patron esperado.,prueba
TRX-000004,2026-05-14 19:36:00,3,19.6,cena,CAJ-002,MES-003,mesa_10,bebidas,Agua sin gas,1,1.0,0,1.0,efectivo,venta,0,normal,Transaccion dentro del patron esperado.,train_normal
TRX-000005,2026-06-16 08:59:00,1,8.98,desayuno,CAJ-003,MES-003,mesa_03,desayunos,Humita con cafe,1,3.14,0,3.14,efectivo,venta,0,normal,Transaccion dentro del patron esperado.,train_normal
TRX-000006,2026-06-09 13:19:00,1,13.32,almuerzo,CAJ-002,MES-001,mesa_06,postres,Tres leches,1,2.92,0,2.92,transferencia,venta,0,normal,Transaccion dentro del patron esperado.,validacion
TRX-000007,2026-05-11 08:30:00,0,8.5,desayuno,CAJ-004,MES-006,mesa_13,bebidas,Agua sin gas,2,1.99,10,1.79,tarjeta,venta,0,normal,Transaccion dentro del patron esperado.,train_normal
TRX-000008,2026-06-26 12:32:00,4,12.53,almuerzo,CAJ-001,MES-003,retiro_local,combos,Combo para dos,3,40.4,0,40.4,efectivo,venta,0,normal,Transaccion dentro del patron esperado.,train_normal
TRX-000009,2026-06-24 10:17:00,2,10.28,desayuno,CAJ-002,MES-001,mesa_12,desayunos,Humita con cafe,2,7.17,0,7.17,tarjeta,venta,0,normal,Transaccion dentro del patron esperado.,train_normal
TRX-000010,2026-05-17 13:18:00,6,13.3,almuerzo,CAJ-003,MES-004,app_delivery,almuerzos,Almuerzo ejecutivo,2,7.85,0,7.85,tarjeta,venta,0,normal,Transaccion dentro del patron esperado.,train_normal
TRX-000011,2026-06-28 13:51:00,6,13.85,almuerzo,CAJ-001,MES-003,retiro_local,combos,Combo familiar almuerzo,2,36.31,5,34.49,tarjeta,venta,0,normal,Transaccion dentro del patron esperado.,train_normal
TRX-000012,2026-05-10 08:12:00,6,8.2,desayuno,CAJ-001,MES-002,mesa_06,almuerzos,Menestra con carne,6,38.4,0,38.4,efectivo,venta,0,normal,Transaccion dentro del patron esperado.,train_normal
TRX-000013,2026-05-07 19:25:00,3,19.42,cena,CAJ-001,MES-003,mesa_10,bebidas,Jugo natural,2,3.46,0,3.46,efectivo,venta,0,normal,Transaccion dentro del patron esperado.,validacion
TRX-000014,2026-05-19 10:44:00,1,10.73,desayuno,CAJ-003,MES-002,mesa_09,postres,Tres leches,1,3.05,0,3.05,transferencia,venta,0,normal,Transaccion dentro del patron esperado.,prueba
TRX-000015,2026-05-27 19:29:00,2,19.48,cena,CAJ-001,MES-003,domicilio,desayunos,Humita con cafe,1,3.38,10,3.04,transferencia,venta,0,normal,Transaccion dentro del patron esperado.,train_normal
